iter	RMSE
0	0.1180292972
1	0.1178603783
2	0.1177815314
3	0.1176269202
4	0.1173798542
5	0.1171868451
6	0.1171849098
7	0.1171221484
8	0.116547464
9	0.1162196782
10	0.1162023776
11	0.1162009541
12	0.1162002813
13	0.1161828328
14	0.1161485373
15	0.1160968618
16	0.1159412127
17	0.115765496
18	0.1156983678
19	0.1156865087
20	0.1155469459
21	0.1154714847
22	0.1153545458
23	0.1153532984
24	0.1153421928
25	0.115085619
26	0.1148488136
27	0.1147657325
28	0.1147453643
29	0.1147317795
30	0.1146894749
31	0.1146393933
32	0.1145355612
33	0.114508102
34	0.1143968217
35	0.1142288575
36	0.1140207033
37	0.1139914134
38	0.1138757791
39	0.11356004
40	0.1135056203
41	0.1134469497
42	0.1134405456
43	0.1134231594
44	0.1132541441
45	0.1131105698
46	0.1130739969
47	0.1130536536
48	0.112988443
49	0.1129883078
50	0.1126368516
51	0.1125701064
52	0.1123625827
53	0.1120650173
54	0.112062893
55	0.1119040879
56	0.1118845775
57	0.1118413723
58	0.1117840557
59	0.111755434
60	0.111725704
61	0.1117107728
62	0.1116014524
63	0.1115972628
64	0.1115777314
65	0.1115374827
66	0.1115246399
67	0.1112198029
68	0.1112035892
69	0.1110070014
70	0.1109547404
71	0.1107366299
72	0.1106452209
73	0.1105301542
74	0.1105215728
75	0.1104365002
76	0.1103623943
77	0.1099494545
78	0.1099460488
79	0.1098932992
80	0.1097451651
81	0.1097328447
82	0.1095208984
83	0.1094900679
84	0.1094867892
85	0.1094217147
86	0.1094086253
87	0.1093654696
88	0.1093522393
89	0.1092433786
90	0.1091651947
91	0.1091307395
92	0.10906567
93	0.109046357
94	0.1089224376
95	0.1088905825
96	0.1088143538
97	0.1087255289
98	0.1087224894
99	0.1086996032
100	0.1082928261
101	0.1082537693
102	0.1082301252
103	0.1079885286
104	0.1079653916
105	0.1076856345
106	0.1075469063
107	0.1075353534
108	0.1073120348
109	0.1072530934
110	0.107211233
111	0.1071885648
112	0.1071866032
